pkt_len_max,pkt_len_std,pkt_len_p50,pkt_len_p75,payload_median,iat_std,iat_p75_minus_p50,iat_p95_minus_p50,iat_cov_std_mean,iat_median,granularity,label
58454,11232.17934,549.5,11734.0,495.5,1.90261,0.00284,0.04573,8.95611,0.00052,150,Netflix
43854,9857.27155,464.0,12829.0,410.0,0.3937,0.00095,0.18408,6.33263,0.00036,150,Netflix
39474,8346.5094,832.5,11004.0,778.5,1.10239,0.00139,0.0115,8.26612,0.00037,150,Netflix
24874,5534.35656,1514.0,10274.0,1460.0,0.00076,0.00083,0.00221,1.10847,0.0002,150,Netflix
64294,14962.84348,2244.0,10274.0,2190.0,0.00638,0.00107,0.00593,3.4702,0.00032,150,Netflix
64294,16612.52835,546.0,20129.0,492.0,0.03401,0.00228,0.01474,6.05425,0.00032,150,Netflix
64294,15312.15815,546.0,19034.0,492.0,0.01681,0.002,0.01867,3.42247,0.00039,150,Netflix
64294,14172.32005,546.5,20494.0,492.5,0.00305,0.0015,0.00845,1.85491,0.00029,150,Netflix
64294,20910.46552,546.0,24874.0,492.0,0.02724,0.00192,0.02188,3.6162,0.00038,150,Netflix
64294,17290.5873,1165.0,24874.0,1111.0,0.00314,0.00172,0.00552,2.05701,0.00021,150,Netflix
64294,17468.48377,726.0,24874.0,672.0,0.00414,0.00225,0.01267,1.79301,0.00032,150,Netflix
64294,18541.38783,1514.0,25969.0,1460.0,0.01169,0.00207,0.03031,2.62698,0.0004,150,Netflix
55534,10321.86849,924.0,7354.0,870.0,0.00418,0.00178,0.00729,1.9963,0.0003,150,Netflix
46774,8806.6682,944.5,13194.0,890.5,0.00206,0.00152,0.00504,1.58781,0.00031,150,Netflix
58454,11482.11812,1126.0,15749.0,1072.0,0.00194,0.00104,0.00306,1.77026,0.00026,150,Netflix
64294,18971.63846,7354.0,27429.0,7300.0,0.00888,0.00154,0.02062,2.58197,0.00031,150,Netflix
42394,7568.91391,1117.0,10274.0,1063.0,0.03666,0.00163,0.01058,7.44484,0.00037,150,Netflix
40934,8199.78209,1514.0,11734.0,1460.0,0.01366,0.00089,0.01142,4.4654,0.00042,150,Netflix
40934,7961.30145,1514.0,10274.0,1460.0,0.00126,0.00075,0.00312,1.43458,0.00027,150,Netflix
64294,16796.07789,1333.5,20129.0,1279.5,0.01346,0.00155,0.03776,2.36844,0.00036,150,Netflix
43854,10836.09511,1144.5,16114.0,1090.5,0.00714,0.00077,0.00359,3.78513,0.00027,150,Netflix
