fwd_pkt_count,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_p50,fwd_pkt_len_p75,fwd_pkt_len_max,fwd_payload_median,fwd_iat_mean,fwd_iat_std,fwd_iat_median,fwd_iat_cov,bwd_pkt_count,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_p50,bwd_pkt_len_p75,bwd_pkt_len_max,bwd_payload_median,bwd_iat_mean,bwd_iat_std,bwd_iat_median,bwd_iat_cov,bytes_ratio_fwd,pkt_ratio_fwd,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,tcp_retrans_ratio,burst_count,mean_burst_gap,udp_ratio,actual_packets_in_flow,agg_mode,agg_value,label
12,71.58333,1.32025,71.0,71.0,75.0,29.0,0.7562,1.62505,0.24705,2.14899,13.0,67.07692,2.52561,66.0,66.0,73.0,24.0,0.69416,1.55604,0.24538,2.24163,0.49624,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.79542,1.0,25,packet,25,Netflix
12,222.83333,479.32676,54.0,63.75,1797.0,0.0,0.00915,0.02404,0.00103,2.62621,13.0,2624.76923,2435.87953,2978.0,5898.0,5898.0,2920.0,0.00477,0.01354,0.00103,2.83588,0.07267,0.48,0.0,1.0,0.0,0.0,0.52,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
14,5342.64286,6848.48734,1383.5,9179.0,23414.0,1329.5,0.00898,0.01787,0.00118,1.99087,11.0,243.36364,388.34527,54.0,86.0,1138.0,0.0,0.01122,0.01492,0.00602,1.33027,0.96545,0.56,0.0,1.0,0.0,0.0,0.32,0.0,0.36,1,0.0,0.0,25,packet,25,Netflix
15,8883.46667,15909.51976,1514.0,5894.0,56994.0,1460.0,0.00902,0.01488,0.00165,1.65012,10.0,262.3,402.42864,54.0,102.0,1138.0,0.0,0.0115,0.01133,0.01034,0.98495,0.9807,0.6,0.0,1.0,0.0,0.0,0.32,0.0,0.32,1,0.0,0.0,25,packet,25,Netflix
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00316,0.00252,0.0025,0.79747,12.0,15384.0,10417.96365,13924.0,19034.0,45314.0,13870.0,0.00298,0.00256,0.00189,0.858,0.00379,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
12,54.0,0.0,54.0,54.0,54.0,0.0,0.00475,0.00352,0.00389,0.74069,13.0,21617.07692,16066.67425,14654.0,16114.0,58454.0,14600.0,0.00381,0.00227,0.00369,0.59569,0.0023,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,20166.38462,13131.85379,19034.0,26334.0,43854.0,18980.0,0.01792,0.04611,0.00492,2.57269,12.0,145.16667,302.36563,54.0,54.0,1148.0,0.0,0.01892,0.0433,0.00472,2.28871,0.9934,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.4,2,0.15412,0.0,25,packet,25,Netflix
13,57.69231,5.53846,54.0,66.0,66.0,0.0,0.05591,0.09518,0.00499,1.70219,12.0,11924.0,14765.13032,2244.0,20859.0,39474.0,2190.0,0.06077,0.10037,0.004,1.65151,0.00521,0.52,0.0,1.0,0.0,0.0,0.2,0.0,0.64,3,0.26222,0.0,25,packet,25,Netflix
13,71.23077,0.79941,71.0,71.0,74.0,29.0,0.5267,0.51947,0.25031,0.98627,12.0,186.08333,394.35273,68.0,68.0,1494.0,26.0,0.42729,0.41597,0.24437,0.97352,0.29313,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.53863,1.0,25,packet,25,Netflix
8,4397.125,3986.40654,2575.5,7190.25,11306.0,2521.5,1.04027,1.83291,0.05154,1.76195,17.0,293.29412,479.29013,58.0,58.0,1518.0,0.0,0.4551,1.33235,0.0,2.92762,0.87586,0.32,0.0,1.0,0.0,0.0,0.32,0.0,0.56,3,3.58848,0.0,25,packet,25,Netflix
13,67.07692,2.52561,66.0,66.0,73.0,24.0,1.24691,1.89222,0.25082,1.51753,12.0,71.5,1.19024,71.0,71.0,75.0,29.0,1.12111,1.90031,0.24925,1.69503,0.50405,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1.3459,1.0,25,packet,25,Netflix
13,283.23077,419.85678,54.0,54.0,1146.0,0.0,1.84632,6.04784,0.01699,3.27561,12.0,6185.91667,9285.969,1296.0,6259.0,29254.0,1242.0,2.00977,6.29605,0.0,3.13271,0.04726,0.52,0.0,1.0,0.0,0.0,0.4,0.0,0.36,2,21.90458,0.0,25,packet,25,Netflix
9,510.0,0.0,510.0,510.0,510.0,456.0,2.93391,1.46263,3.9558,0.49853,16.0,423.0625,422.91392,66.0,999.0,999.0,0.0,1.71123,1.46511,1.20067,0.85617,0.40408,0.36,0.0,1.0,0.0,0.0,0.56,0.0,0.88,16,1.71108,0.0,25,packet,25,Netflix
13,448.38462,500.4654,54.0,1003.0,1142.0,0.0,0.09706,0.24819,0.01547,2.55696,12.0,4104.0,7624.20389,696.0,2974.0,27794.0,642.0,0.10464,0.28026,0.00174,2.67836,0.10583,0.52,0.0,1.0,0.0,0.0,0.52,0.0,0.28,2,0.91699,0.0,25,packet,25,Netflix
13,18921.69231,9504.44281,14654.0,21954.0,39474.0,14600.0,0.00285,0.0023,0.00255,0.80573,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00279,0.00241,0.00226,0.862,0.99737,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
13,54.0,0.0,54.0,54.0,54.0,0.0,0.00202,0.00126,0.00164,0.62554,12.0,13194.0,4878.81816,13194.0,17574.0,20494.0,13140.0,0.00217,0.00118,0.00202,0.54417,0.00441,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,0.0,25,packet,25,Netflix
24,4434.0,11565.37505,1514.0,1514.0,58454.0,1460.0,0.00065,0.00306,0.0,4.69042,1.0,54.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0,0.99949,0.96,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,25,packet,25,Netflix
13,38575.53846,17355.80854,45314.0,49694.0,64294.0,45260.0,0.00763,0.00594,0.00705,0.77834,12.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00809,0.00598,0.00714,0.73917,0.99871,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
11,54.0,0.0,54.0,54.0,54.0,0.0,0.01139,0.01201,0.00759,1.05419,14.0,41664.0,20549.57872,48234.0,58454.0,64294.0,48180.0,0.00874,0.00663,0.00587,0.75793,0.00102,0.44,0.0,1.0,0.0,0.0,0.0,0.0,0.4,1,0.0,0.0,25,packet,25,Netflix
12,54.0,0.0,54.0,54.0,54.0,0.0,0.00742,0.012,0.00165,1.61794,13.0,27464.76923,17971.55807,23414.0,29254.0,64294.0,23360.0,0.00433,0.00635,0.00149,1.46766,0.00181,0.48,0.0,1.0,0.0,0.0,0.04,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
11,1324.0,0.0,1324.0,1324.0,1324.0,1270.0,2.87739,1.55813,3.95346,0.54151,14.0,294.85714,438.22806,66.0,66.0,1134.0,0.0,2.38815,1.66668,3.22444,0.6979,0.77916,0.44,0.0,1.0,0.0,0.0,0.56,0.0,0.92,14,2.38789,0.0,25,packet,25,Netflix
13,10723.23077,8226.87384,11734.0,17574.0,26334.0,11680.0,0.08786,0.13801,0.00332,1.57088,12.0,56.0,4.47214,54.0,54.0,66.0,0.0,0.05868,0.09284,0.0025,1.58199,0.9952,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.52,4,0.29887,0.0,25,packet,25,Netflix
5,24220.2,13102.6975,26334.0,35094.0,38014.0,26280.0,0.00767,0.00559,0.00776,0.72874,20.0,216.0,385.63714,54.0,54.0,1134.0,0.0,0.1407,0.45942,0.0001,3.26534,0.96556,0.2,0.0,1.0,0.0,0.0,0.16,0.0,0.76,4,0.86628,0.0,25,packet,25,Netflix
13,71.23077,0.79941,71.0,71.0,74.0,29.0,0.91622,1.1447,0.31716,1.24938,12.0,186.33333,394.27705,68.0,68.0,1494.0,26.0,0.68866,0.91578,0.25512,1.3298,0.29285,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,1.06056,1.0,25,packet,25,Netflix
13,218.61538,386.07722,54.0,54.0,1134.0,0.0,0.79065,2.43676,0.01164,3.08197,12.0,12059.75,9469.32889,12464.0,17939.0,33634.0,12410.0,0.05543,0.159,0.00429,2.86843,0.01926,0.52,0.0,1.0,0.0,0.0,0.16,0.0,0.4,3,4.6785,0.0,25,packet,25,Netflix
12,54.0,0.0,54.0,54.0,54.0,0.0,0.00302,0.00306,0.00242,1.01396,13.0,13839.30769,10493.81765,14654.0,19034.0,39474.0,14600.0,0.00271,0.00307,0.00221,1.13002,0.00359,0.48,0.0,1.0,0.0,0.0,0.04,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
14,17424.0,12635.15893,21954.0,23414.0,36554.0,21900.0,0.016,0.02184,0.00213,1.36477,11.0,54.0,0.0,54.0,54.0,54.0,0.0,0.02043,0.02318,0.00669,1.13433,0.99757,0.56,0.0,1.0,0.0,0.0,0.04,0.0,0.44,1,0.0,0.0,25,packet,25,Netflix
