fwd_pkt_count,fwd_pkt_len_mean,fwd_pkt_len_std,fwd_pkt_len_p50,fwd_pkt_len_p75,fwd_pkt_len_max,fwd_payload_median,fwd_iat_mean,fwd_iat_std,fwd_iat_median,fwd_iat_cov,bwd_pkt_count,bwd_pkt_len_mean,bwd_pkt_len_std,bwd_pkt_len_p50,bwd_pkt_len_p75,bwd_pkt_len_max,bwd_payload_median,bwd_iat_mean,bwd_iat_std,bwd_iat_median,bwd_iat_cov,bytes_ratio_fwd,pkt_ratio_fwd,tcp_syn_ratio,tcp_ack_ratio,tcp_fin_ratio,tcp_rst_ratio,tcp_psh_ratio,tcp_urg_ratio,tcp_retrans_ratio,burst_count,mean_burst_gap,actual_packets_in_flow,agg_mode,agg_value,label
26,9977.11538,10020.2526,7354.0,14654.0,45314.0,7300.0,0.00618,0.01332,0.00189,2.15645,24.0,140.79167,279.32881,54.0,54.0,1138.0,0.0,0.00658,0.01081,0.00313,1.64409,0.98714,0.52,0.0,1.0,0.0,0.0,0.16,0.0,0.44,1,0.0,50,packet,50,Netflix
28,14795.5,17198.12021,13194.0,16114.0,58454.0,13140.0,0.00685,0.01118,0.00311,1.63275,22.0,148.68182,290.4663,54.0,54.0,1138.0,0.0,0.00834,0.00884,0.00578,1.06095,0.99217,0.56,0.0,1.0,0.0,0.0,0.16,0.0,0.4,1,0.0,50,packet,50,Netflix
25,16210.04,14535.23684,16114.0,26334.0,43854.0,16060.0,0.0369,0.07856,0.00433,2.12896,25.0,99.68,214.03228,54.0,54.0,1148.0,0.0,0.03692,0.07586,0.00491,2.05497,0.99389,0.5,0.0,1.0,0.0,0.0,0.16,0.0,0.54,4,0.22618,50,packet,50,Netflix
25,71.36,1.01509,71.0,71.0,75.0,29.0,0.89688,1.42976,0.24983,1.59416,25.0,124.2,279.61588,66.0,68.0,1494.0,24.0,0.88792,1.43362,0.24941,1.61457,0.3649,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.94226,50,packet,50,Netflix
26,365.80769,469.2458,54.0,998.25,1146.0,0.0,1.25634,4.50169,0.01623,3.58317,24.0,5144.95833,8559.34851,1078.0,2974.0,29254.0,1024.0,1.3655,4.6856,0.0013,3.43142,0.07152,0.52,0.0,1.0,0.0,0.0,0.46,0.0,0.34,4,10.30317,50,packet,50,Netflix
25,16172.4,8160.13318,14654.0,19034.0,39474.0,14600.0,0.00244,0.00189,0.00212,0.77299,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00244,0.00191,0.0021,0.78389,0.99667,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
27,40176.96296,19141.00017,45314.0,55534.0,64294.0,45260.0,0.00798,0.0063,0.00642,0.78968,23.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00934,0.0094,0.00713,1.0065,0.99886,0.54,0.0,1.0,0.0,0.0,0.0,0.0,0.44,1,0.0,50,packet,50,Netflix
24,55.0,3.31662,54.0,54.0,66.0,0.0,0.03164,0.06974,0.00227,2.20434,26.0,19094.0,16291.06976,17574.0,25604.0,64294.0,17520.0,0.04427,0.10448,0.00227,2.35995,0.00265,0.48,0.0,1.0,0.0,0.0,0.02,0.0,0.5,4,0.29887,50,packet,50,Netflix
29,7845.41379,14005.62323,1514.0,1514.0,58454.0,1460.0,0.00163,0.00427,0.0,2.61784,21.0,208.28571,377.92127,54.0,54.0,1134.0,0.0,0.13443,0.44862,0.0001,3.33718,0.98114,0.58,0.0,1.0,0.0,0.0,0.08,0.0,0.4,4,0.86628,50,packet,50,Netflix
25,139.6,290.2975,54.0,54.0,1134.0,0.0,0.39684,1.76748,0.00302,4.45391,25.0,12985.12,10054.53526,13194.0,19034.0,39474.0,13140.0,0.02679,0.11085,0.00269,4.13774,0.01064,0.5,0.0,1.0,0.0,0.0,0.1,0.0,0.44,3,4.6785,50,packet,50,Netflix
26,17212.46154,12474.54256,21954.0,24509.0,43854.0,21900.0,0.00933,0.01723,0.00199,1.84633,24.0,54.0,0.0,54.0,54.0,54.0,0.0,0.01008,0.0178,0.00207,1.76556,0.99711,0.52,0.0,1.0,0.0,0.0,0.02,0.0,0.48,1,0.0,50,packet,50,Netflix
25,13602.8,6891.6949,14654.0,17574.0,29254.0,14600.0,0.00161,0.00128,0.00121,0.7905,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00161,0.00132,0.00119,0.81684,0.99605,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
25,71.76,1.81725,71.0,71.0,77.0,29.0,0.88828,1.3411,0.24854,1.50977,25.0,125.08,279.43714,68.0,68.0,1494.0,26.0,0.87778,1.34506,0.25476,1.53234,0.36456,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,1.0286,50,packet,50,Netflix
26,8870.15385,8623.04429,6624.0,14289.0,40934.0,6570.0,0.35956,0.90476,0.00209,2.51631,24.0,57.5,5.45436,54.0,66.0,66.0,0.0,0.39042,0.93627,0.00215,2.39814,0.99405,0.52,0.0,1.0,0.02,0.02,0.0,0.0,0.54,10,0.98692,50,packet,50,Netflix
25,97.52,213.20359,54.0,54.0,1142.0,0.0,0.42959,2.04677,0.00148,4.76451,25.0,11636.92,9125.1787,8814.0,17574.0,36554.0,8760.0,0.00198,0.00166,0.00119,0.83917,0.00831,0.5,0.0,1.0,0.0,0.0,0.04,0.0,0.46,2,10.24555,50,packet,50,Netflix
25,9573.2,6000.15594,8814.0,14654.0,19034.0,8760.0,0.00151,0.00082,0.00123,0.54665,25.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00151,0.00083,0.00122,0.55358,0.99439,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
26,8701.69231,5461.66522,8084.0,11734.0,24874.0,8030.0,0.00129,0.00075,0.00109,0.57689,24.0,54.0,0.0,54.0,54.0,54.0,0.0,0.00133,0.0007,0.00115,0.52689,0.9943,0.52,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
25,54.0,0.0,54.0,54.0,54.0,0.0,0.00155,0.00091,0.00127,0.586,25.0,10449.2,3362.94766,10274.0,10274.0,20494.0,10220.0,0.00164,0.00091,0.00133,0.55446,0.00514,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
24,54.0,0.0,54.0,54.0,54.0,0.0,0.00126,0.00061,0.00121,0.48459,26.0,8701.69231,3410.16163,10274.0,10274.0,16114.0,10220.0,0.00114,0.00053,0.00113,0.46358,0.0057,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
25,54.0,0.0,54.0,54.0,54.0,0.0,0.0012,0.00042,0.00121,0.3505,25.0,9164.4,3097.95349,10274.0,10274.0,19034.0,10220.0,0.00128,0.00052,0.00123,0.41001,0.00586,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
25,54.0,0.0,54.0,54.0,54.0,0.0,0.00295,0.00263,0.00206,0.89103,25.0,21194.8,16718.72768,16114.0,27794.0,64294.0,16060.0,0.00295,0.00257,0.00213,0.87287,0.00254,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.48,1,0.0,50,packet,50,Netflix
24,54.0,0.0,54.0,54.0,54.0,0.0,0.00716,0.01511,0.00348,2.10938,26.0,26277.84615,18620.14461,23414.0,32174.0,64294.0,23360.0,0.00642,0.01428,0.00345,2.22373,0.00189,0.48,0.0,1.0,0.0,0.0,0.0,0.0,0.46,1,0.0,50,packet,50,Netflix
25,97.56,213.39955,54.0,54.0,1143.0,0.0,0.0048,0.00656,0.00193,1.36438,25.0,19303.08,14129.72791,21954.0,29254.0,58454.0,21900.0,0.00474,0.00837,0.0021,1.76767,0.00503,0.5,0.0,1.0,0.0,0.0,0.06,0.0,0.46,1,0.0,50,packet,50,Netflix
25,19614.68,15095.54684,16114.0,29254.0,58454.0,16060.0,0.00443,0.00833,0.00161,1.87808,25.0,141.28,295.98102,54.0,54.0,1146.0,0.0,0.00443,0.00555,0.00161,1.2519,0.99285,0.5,0.0,1.0,0.0,0.0,0.12,0.0,0.44,1,0.0,50,packet,50,Netflix
26,24958.23077,22628.59407,21954.0,33269.0,64294.0,21900.0,0.02442,0.0833,0.00204,3.41158,24.0,145.16667,302.36576,54.0,54.0,1149.0,0.0,0.02625,0.08357,0.00322,3.18338,0.99466,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.42,2,0.41279,50,packet,50,Netflix
26,28652.84615,25766.88694,24874.0,57359.0,64294.0,24820.0,0.00562,0.00789,0.00229,1.40446,24.0,145.08333,302.08924,54.0,54.0,1147.0,0.0,0.00585,0.00809,0.00215,1.38307,0.99535,0.52,0.0,1.0,0.0,0.0,0.12,0.0,0.42,1,0.0,50,packet,50,Netflix
25,24344.68,18939.3683,24874.0,33634.0,64294.0,24820.0,0.01695,0.05627,0.0023,3.32018,25.0,141.28,295.98102,54.0,54.0,1146.0,0.0,0.01649,0.05166,0.00248,3.13194,0.99423,0.5,0.0,1.0,0.0,0.0,0.12,0.0,0.44,2,0.26138,50,packet,50,Netflix
24,32781.0,22322.32121,32174.0,51519.0,64294.0,32120.0,0.01399,0.03706,0.00211,2.65008,26.0,96.57692,210.49725,54.0,54.0,1149.0,0.0,0.0128,0.03081,0.00251,2.40614,0.99682,0.48,0.0,1.0,0.0,0.0,0.08,0.0,0.5,2,0.15274,50,packet,50,Netflix
26,25497.96154,21999.82723,25604.0,42394.0,64294.0,25550.0,0.01778,0.02625,0.00322,1.47668,24.0,138.83333,282.12699,54.0,54.0,1144.0,0.0,0.01931,0.02634,0.00603,1.36382,0.995,0.52,0.0,1.0,0.0,0.0,0.14,0.0,0.44,1,0.0,50,packet,50,Netflix
24,191.95833,471.26925,54.0,54.0,2196.0,0.0,0.02491,0.0413,0.00332,1.65783,26.0,18008.42308,16396.50791,13194.0,30349.0,58454.0,13140.0,0.02258,0.04636,0.00296,2.05322,0.00974,0.48,0.04,0.98,0.0,0.0,0.1,0.0,0.42,2,0.14999,50,packet,50,Netflix
