feature,H_stat,p_value,eta2
bwd_pkt_len_std,935.7091602158378,1.6952909610047934e-205,0.4229453213646325
bwd_pkt_len_max,932.166088729355,9.986986898829466e-205,0.4213421215969932
bwd_pkt_len_mean,922.4419093848614,1.2980321431262888e-202,0.41694204044563865
bwd_pkt_len_p75,866.3254509128197,2.0531383967957412e-190,0.39154997778860623
bwd_pkt_len_p50,764.0872245400612,3.4703190273589746e-168,0.34528833689595534
bwd_payload_median,757.5374074726373,9.21528246202892e-167,0.3423246187658992
udp_ratio,543.3498334059691,3.52117371013318e-120,0.2454071644370901
tcp_ack_ratio,506.86512706877227,3.049841985082365e-112,0.22889824754243088
pkt_ratio_fwd,480.919190267236,1.3481254790219333e-106,0.21715800464580814
tcp_retrans_ratio,352.57642088347484,1.1643760125474156e-78,0.15908435334093884
bwd_iat_median,312.46621629423083,6.338446433349244e-70,0.14093493949965197
bwd_pkt_count,174.7653517471444,6.736712547950218e-40,0.07862685599418298
tcp_rst_ratio,108.60658909068063,1.9791565083343384e-25,0.04869076429442563
tcp_fin_ratio,80.61989048205218,2.7359167423013685e-19,0.03602709976563447
bytes_ratio_fwd,67.03808916070216,2.66311738124212e-16,0.029881488308010025
mean_burst_gap,53.5423036939168,2.530839492175983e-13,0.023774798051546062
burst_count,33.48539760776879,7.1801038883718e-09,0.014699274935641986
tcp_psh_ratio,28.0481114668438,1.1833653628515945e-07,0.012238964464635203
bwd_iat_cov,21.593658451175777,3.3696412471744482e-06,0.009318397489219808
tcp_syn_ratio,13.890214034935747,0.00019380493432328376,0.0058326760339075774
bwd_iat_mean,2.5860193677742265,0.10781098081976256,0.0007176558225222745
bwd_iat_std,1.5818083599364616,0.20850040603896203,0.0002632617013287157
tcp_urg_ratio,,,0.0
