class,feature,mean,std,median,p25,p75,n
disney,bwd_pkt_count,30.370705244122966,12.593829231246568,27.0,25.0,36.0,1106
disney,bwd_pkt_len_mean,4491.5697817682785,4854.015022490346,3525.574814814815,87.515,7917.663461538461,1106
disney,bwd_pkt_len_std,3260.2179151703167,3637.023514673495,2899.856289678525,7.998421339340243,5566.556844547191,1106
disney,bwd_pkt_len_p50,3905.3580470162747,5051.817624081498,1514.0,82.0,5894.0,1106
disney,bwd_pkt_len_p75,6223.932414104883,6612.432104485823,4069.0,87.0,13194.0,1106
disney,bwd_pkt_len_max,12375.849005424954,14824.032971437495,14454.0,115.0,14654.0,1106
disney,bwd_payload_median,3855.8164556962024,5048.659485513966,1460.0,40.0,5840.0,1106
disney,bwd_iat_mean,7.638429760832779,23.38330666675867,0.10538068092621664,0.00022966083333333335,0.40827322959183676,1106
disney,bwd_iat_std,5.252827112772893,14.33113895636541,0.16464135484545087,0.00027233362298641184,1.4137610610546085,1106
disney,bwd_iat_median,6.749664161392406,24.513617748195944,0.000158,0.0,0.00189325,1106
disney,bwd_iat_cov,2.6407892489192575,2.0039392735631285,1.8869396642052187,1.1675349143867693,3.778992354049316,1106
disney,bytes_ratio_fwd,0.0315753328998871,0.13380733361519936,0.004246948965039975,0.0,0.01103414848400108,1106
disney,pkt_ratio_fwd,0.2737465812213052,0.2365127884111531,0.4,0.0,0.48790069138906345,1106
disney,tcp_syn_ratio,8.763388510223954e-05,0.0023893932317350644,0.0,0.0,0.0,1106
disney,tcp_ack_ratio,0.5677771595493114,0.49557529766454556,1.0,0.0,1.0,1106
disney,tcp_fin_ratio,0.0029932547037935012,0.024556815265431818,0.0,0.0,0.0,1106
disney,tcp_rst_ratio,0.0007583589158435042,0.008710946013282282,0.0,0.0,0.0,1106
disney,tcp_psh_ratio,0.1450065552340572,0.17275260570383166,0.07846153846153847,0.0,0.26,1106
disney,tcp_urg_ratio,0.0,0.0,0.0,0.0,0.0,1106
disney,tcp_retrans_ratio,0.2462158256141525,0.22284371806230077,0.34,0.0,0.46,1106
disney,udp_ratio,0.4321880650994575,0.49560430216859247,0.0,0.0,1.0,1106
disney,burst_count,6.159132007233273,9.2875624888053,2.0,1.0,7.0,1106
disney,mean_burst_gap,10.56260611135929,24.801989108909815,1.0339457137244088,0.0,9.996115922927856,1106
msedge,bwd_pkt_count,23.508137432188065,6.129701207211702,25.0,25.0,26.0,1106
msedge,bwd_pkt_len_mean,17681.211427377988,10024.099289428712,17108.48076923077,9896.036057692307,25286.90934065934,1106
msedge,bwd_pkt_len_std,13118.570314734368,7277.901528649518,13439.989772569084,7421.600181598231,18902.16847049648,1106
msedge,bwd_pkt_len_p50,16322.92992766727,11487.07798091645,15507.0,7354.0,24144.0,1106
msedge,bwd_pkt_len_p75,25948.719484629295,16571.558189281142,24874.0,14289.0,35094.0,1106
msedge,bwd_pkt_len_max,44331.27215189873,20914.96993941398,51154.0,27794.0,64294.0,1106
msedge,bwd_payload_median,16268.919077757686,11487.092919517789,15453.0,7300.0,24090.0,1106
msedge,bwd_iat_mean,0.8828739054118461,4.2475771930934085,0.009418665,0.0026508865384615387,0.2219445414285714,1106
msedge,bwd_iat_std,1.185585344488229,4.572184098822458,0.013933254378024017,0.002657853186061943,0.7709327769722298,1106
msedge,bwd_iat_median,0.5594007830018082,4.169981411366268,0.001666,0.0012622500000000001,0.002585125,1106
msedge,bwd_iat_cov,2.238160146298302,1.5257026013396142,1.600264372672295,0.9550265298970138,3.6751042700395757,1106
msedge,bytes_ratio_fwd,0.042534622752467686,0.13782390488687504,0.005047908389810703,0.003146649237937169,0.010205062964621443,1106
msedge,pkt_ratio_fwd,0.4919566978365944,0.05841264939903954,0.5,0.48,0.5,1106
msedge,tcp_syn_ratio,0.0008739962324007069,0.008828885798544595,0.0,0.0,0.0,1106
msedge,tcp_ack_ratio,0.9814067910060699,0.13343028227991852,1.0,1.0,1.0,1106
msedge,tcp_fin_ratio,0.011761765264744664,0.04004443922579174,0.0,0.0,0.0,1106
msedge,tcp_rst_ratio,0.007989366808307717,0.027965859756666985,0.0,0.0,0.0,1106
msedge,tcp_psh_ratio,0.07708758422340314,0.11678821446671961,0.04,0.0,0.1,1106
msedge,tcp_urg_ratio,0.0,0.0,0.0,0.0,0.0,1106
msedge,tcp_retrans_ratio,0.4467135127675575,0.09084303389182569,0.46,0.44,0.48,1106
msedge,udp_ratio,0.018083182640144666,0.133312602884953,0.0,0.0,0.0,1106
msedge,burst_count,2.8490054249547923,3.443110230547237,2.0,1.0,3.0,1106
msedge,mean_burst_gap,2.4308240482888177,6.324095065793807,0.1075664758682251,0.0,2.1368920505046844,1106
